60 100
0 0 1
0 10 2
1 40 6
1 20 12
1 64 135
4 82 -41
5 80 10
5 65 153
5 90 -1
10 11 12
10 50 23
11 40 -34
11 20 -21
11 80 152
14 86 -13
15 88 104
15 60 105
15 90 -13
20 20 11
20 55 22
21 40 -33
21 20 -24
21 80 152
24 80 -13
25 80 104
25 60 132
28 90 -12
30 00 13
30 55 24
31 40 -3
31 20 -22
31 80 152
34 85 -13
35 86 104
39 64 102
35 93 -13
40 32 14
40 53 23
41 40 -32
41 23 -23
43 80 154
44 83 -13
45 80 102
45 64 103
45 90 -14
50 23 13
50 54 22
51 40 -33
51 23 -24
51 82 155
53 83 -12
55 87 103
55 64 104
58 90 -13
